"","lambda","mu","prob","meanN","meanNb"
"33",1.01,0.05,-87.6925247593133,1.61990558393662,1.52891460972885
"34",0.01,0.07,-77.1635079643365,1.00545734990796,1.00455644900706
"35",0.11,0.07,-77.6100475463192,1.06078965110932,1.05087974119941
"36",0.21,0.07,-78.0638736695528,1.11750027446782,1.0985813555489
"37",0.31,0.07,-78.5249758520095,1.17558557599701,1.14765764806927
"38",0.41,0.07,-78.9933373320342,1.235039658623,1.19810272168897
"39",0.51,0.07,-79.4689351365174,1.29585440665845,1.24990846073688
"40",0.61,0.07,-79.951740173754,1.35801953268528,1.30306457786813
"41",0.71,0.07,-80.4417173496608,1.4215226358386,1.35755867246744
"42",0.81,0.07,-80.9388257054652,1.48634927003117,1.41337629914387
"43",0.91,0.07,-81.4430185743565,1.55248302016967,1.47050104447676
"44",1.01,0.07,-81.9542437539591,1.61990558393662,1.52891460972885
"45",0.01,0.09,-72.9851024969685,1.00545734990796,1.00455644900706
"46",0.11,0.09,-73.4282143040397,1.06078965110932,1.05087974119941
"47",0.21,0.09,-73.878720650873,1.11750027446782,1.0985813555489
"48",0.31,0.09,-74.3366105652769,1.17558557599701,1.14765764806927
"49",0.41,0.09,-74.8018666306506,1.235039658623,1.19810272168897
"50",0.51,0.09,-75.2744650572261,1.29585440665845,1.24990846073688
"51",0.61,0.09,-75.7543757789095,1.35801953268528,1.30306457786813
"52",0.71,0.09,-76.2415625743541,1.4215226358386,1.35755867246744
